px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
1.10972e+75	1.13761e+75	1.99639e+76	2.44608e+73	1.40796e+72	159.014	26.1903	158.827	26.1372	2.66127	1.36157	3.44432e+304
-4.46898e+149	-1.25112e+151	1.18656e+136	-1.48688e+132	1.96825e+132	161.412	27.4256	161.493	27.4891	2.65371	1.33344	6.90165e-310
2.84352e+150	1.04803e+151	-1.20296e+152	-1.54465e+149	-8.48391e+147	161.529	27.8454	161.493	27.4891	2.65371	1.33344	inf
1.32461e+151	9.59286e+149	-1.42093e+152	-1.90808e+149	-1.00212e+148	163.625	28.7683	164.155	28.8064	2.64354	1.28825	6.90165e-310
-1.57345e+151	1.16462e+151	-5.25528e+151	-7.01545e+148	-3.6848e+147	164.116	29.315	164.155	28.8064	2.64354	1.28825	inf
-nan	-nan	-nan	-nan	-nan	166.828	30.2062	166.809	30.0721	2.63006	1.22694	6.90165e-310
-nan	-nan	-nan	-nan	-nan	166.748	29.7121	166.809	30.0721	2.63006	1.22694	-nan
-nan	-nan	-nan	-nan	-nan	169.097	31.3717	169.452	31.2706	2.61238	1.15075	6.90165e-310
-nan	-nan	-nan	-nan	-nan	169.345	30.7063	169.452	31.2706	2.61238	1.15075	-nan
-nan	-nan	-nan	-nan	-nan	172.175	32.3404	172.079	32.3873	2.58945	1.06126	6.90165e-310
-nan	-nan	-nan	-nan	-nan	172.135	32.6666	172.079	32.3873	2.58945	1.06126	-nan
-nan	-nan	-nan	-nan	-nan	174.643	33.4625	174.685	33.4095	2.56021	0.960341	6.90165e-310
-nan	-nan	-nan	-nan	-nan	174.474	33.9157	174.685	33.4095	2.56021	0.960341	-nan
-nan	-nan	-nan	-nan	-nan	177.03	34.2009	177.261	34.3262	2.52363	0.850119	6.90165e-310
-nan	-nan	-nan	-nan	-nan	177.211	33.8467	177.261	34.3262	2.52363	0.850119	-nan
-nan	-nan	-nan	-nan	-nan	180.145	35.1423	179.799	35.1289	2.47883	0.732949	6.90165e-310
-nan	-nan	-nan	-nan	-nan	179.543	35.4767	179.799	35.1289	2.47883	0.732949	-nan
-nan	-nan	-nan	-nan	-nan	182.599	35.753	182.292	35.8114	2.42515	0.611338	6.90165e-310
-nan	-nan	-nan	-nan	-nan	182.047	36.2626	182.292	35.8114	2.42515	0.611338	-nan
-nan	-nan	-nan	-nan	-nan	184.732	36.5155	184.73	36.37	2.36226	0.487877	6.90165e-310
-nan	-nan	-nan	-nan	-nan	184.833	36.1451	184.73	36.37	2.36226	0.487877	-nan
-nan	-nan	-nan	-nan	-nan	186.946	36.9404	187.103	36.804	2.29017	0.365145	6.90165e-310
-nan	-nan	-nan	-nan	-nan	187.296	36.9375	187.103	36.804	2.29017	0.365145	-nan
-nan	-nan	-nan	-nan	-nan	189.465	37.4052	189.401	37.1147	2.20928	0.245623	6.90165e-310
-nan	-nan	-nan	-nan	-nan	189.738	36.951	189.401	37.1147	2.20928	0.245623	-nan
-nan	-nan	-nan	-nan	-nan	191.735	37.5631	191.615	37.3064	2.12037	0.131591	6.90165e-310
-nan	-nan	-nan	-nan	-nan	191.682	37.1147	191.615	37.3064	2.12037	0.131591	-nan
-nan	-nan	-nan	-nan	-nan	193.471	37.2789	193.738	37.3853	2.02462	0.0250452	6.90165e-310
-nan	-nan	-nan	-nan	-nan	193.555	37.4234	193.738	37.3853	2.02462	0.0250452	-nan
-nan	-nan	-nan	-nan	-nan	195.991	37.3991	195.762	37.3598	1.92349	-0.072386	6.90165e-310
-nan	-nan	-nan	-nan	-nan	195.507	37.4891	195.762	37.3598	1.92349	-0.072386	-nan
-nan	-nan	-nan	-nan	-nan	197.725	37.7285	197.683	37.2395	1.81869	-0.159495	6.90165e-310
-nan	-nan	-nan	-nan	-nan	197.582	37.303	197.683	37.2395	1.81869	-0.159495	-nan
-nan	-nan	-nan	-nan	-nan	199.294	37.2862	199.497	37.0353	1.71212	-0.235529	6.90165e-310
-nan	-nan	-nan	-nan	-nan	199.356	37.3527	199.497	37.0353	1.71212	-0.235529	-nan
-nan	-nan	-nan	-nan	-nan	201.549	36.9973	201.203	36.7587	1.6057	-0.300201	6.90165e-310
-nan	-nan	-nan	-nan	-nan	200.932	37.4694	201.203	36.7587	1.6057	-0.300201	-nan
-nan	-nan	-nan	-nan	-nan	202.962	36.4568	202.801	36.4212	1.50137	-0.353671	6.90165e-310
-nan	-nan	-nan	-nan	-nan	202.65	37.2445	202.801	36.4212	1.50137	-0.353671	-nan
-nan	-nan	-nan	-nan	-nan	203.991	36.1967	204.294	36.0343	1.40095	-0.396497	6.90165e-310
-nan	-nan	-nan	-nan	-nan	203.809	36.2941	204.294	36.0343	1.40095	-0.396497	-nan
